   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -4.028 +- 0.156                0.0      -3.647 +- 0.065
     199.6      -3.974 +- 0.132               99.8      -3.671 +- 0.064
     299.4      -3.578 +- 0.102              199.6      -3.840 +- 0.072
     399.2      -3.521 +- 0.090              299.4      -3.847 +- 0.073
     499.0      -3.521 +- 0.091              399.2      -3.896 +- 0.075
     598.8      -3.529 +- 0.079              499.0      -3.935 +- 0.085
     698.6      -3.623 +- 0.076              598.8      -4.269 +- 0.087
     798.4      -3.675 +- 0.071              698.6      -4.331 +- 0.107
     898.2      -3.614 +- 0.063              798.4      -4.349 +- 0.119
     998.0      -3.647 +- 0.065              898.2      -4.406 +- 0.170
