   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.540 +- 0.093                0.0      -2.533 +- 0.034
     199.6      -2.503 +- 0.065               99.8      -2.550 +- 0.037
     299.4      -2.509 +- 0.056              199.6      -2.556 +- 0.038
     399.2      -2.455 +- 0.050              299.4      -2.583 +- 0.041
     499.0      -2.429 +- 0.046              399.2      -2.671 +- 0.046
     598.8      -2.510 +- 0.044              499.0      -2.661 +- 0.048
     698.6      -2.515 +- 0.042              598.8      -2.611 +- 0.052
     798.4      -2.584 +- 0.040              698.6      -2.696 +- 0.058
     898.2      -2.572 +- 0.036              798.4      -2.606 +- 0.061
     998.0      -2.533 +- 0.034              898.2      -2.599 +- 0.084
