   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      29.919 +- 0.776                0.0      25.784 +- 0.372
     199.6      29.241 +- 0.598               99.8      25.328 +- 0.371
     299.4      28.040 +- 0.518              199.6      25.047 +- 0.420
     399.2      27.719 +- 0.483              299.4      25.241 +- 0.437
     499.0      27.361 +- 0.440              399.2      24.212 +- 0.466
     598.8      26.519 +- 0.413              499.0      24.946 +- 0.460
     698.6      26.454 +- 0.409              598.8      25.008 +- 0.472
     798.4      26.382 +- 0.388              698.6      25.096 +- 0.549
     898.2      25.874 +- 0.378              798.4      23.780 +- 0.620
     998.0      25.784 +- 0.372              898.2      24.378 +- 0.804
