   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.170 +- 0.098                0.0      -3.005 +- 0.063
     199.6      -2.405 +- 0.082               99.8      -3.135 +- 0.067
     299.4      -2.348 +- 0.069              199.6      -3.166 +- 0.073
     399.2      -2.587 +- 0.060              299.4      -3.231 +- 0.073
     499.0      -2.407 +- 0.052              399.2      -3.377 +- 0.084
     598.8      -2.348 +- 0.052              499.0      -3.423 +- 0.094
     698.6      -2.438 +- 0.051              598.8      -3.697 +- 0.092
     798.4      -2.704 +- 0.051              698.6      -3.397 +- 0.095
     898.2      -2.831 +- 0.058              798.4      -3.679 +- 0.127
     998.0      -3.005 +- 0.063              898.2      -3.722 +- 0.163
