   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.297 +- 0.080                0.0      -2.952 +- 0.047
     199.6      -2.589 +- 0.090               99.8      -2.985 +- 0.049
     299.4      -2.609 +- 0.077              199.6      -3.030 +- 0.054
     399.2      -2.673 +- 0.078              299.4      -3.141 +- 0.058
     499.0      -2.721 +- 0.070              399.2      -3.136 +- 0.061
     598.8      -2.855 +- 0.060              499.0      -3.195 +- 0.070
     698.6      -2.785 +- 0.048              598.8      -3.249 +- 0.071
     798.4      -2.743 +- 0.057              698.6      -3.395 +- 0.079
     898.2      -2.736 +- 0.057              798.4      -3.112 +- 0.090
     998.0      -2.952 +- 0.047              898.2      -3.127 +- 0.124
