   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      28.451 +- 0.615                0.0      26.309 +- 0.250
     199.6      27.331 +- 0.500               99.8      25.870 +- 0.267
     299.4      27.530 +- 0.410              199.6      25.689 +- 0.282
     399.2      27.233 +- 0.358              299.4      25.699 +- 0.300
     499.0      27.040 +- 0.356              399.2      25.448 +- 0.329
     598.8      26.504 +- 0.328              499.0      25.550 +- 0.323
     698.6      26.547 +- 0.284              598.8      25.407 +- 0.362
     798.4      26.353 +- 0.267              698.6      25.456 +- 0.418
     898.2      26.217 +- 0.254              798.4      25.762 +- 0.494
     998.0      26.309 +- 0.250              898.2      25.716 +- 0.655
