   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.318 +- 0.094                0.0      -2.352 +- 0.045
     199.6      -2.447 +- 0.073               99.8      -2.360 +- 0.047
     299.4      -2.567 +- 0.066              199.6      -2.324 +- 0.050
     399.2      -2.504 +- 0.056              299.4      -2.231 +- 0.053
     499.0      -2.307 +- 0.057              399.2      -2.249 +- 0.055
     598.8      -2.361 +- 0.055              499.0      -2.293 +- 0.053
     698.6      -2.359 +- 0.050              598.8      -2.270 +- 0.053
     798.4      -2.393 +- 0.047              698.6      -2.364 +- 0.059
     898.2      -2.400 +- 0.046              798.4      -2.385 +- 0.076
     998.0      -2.352 +- 0.045              898.2      -2.590 +- 0.115
