   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      25.537 +- 0.654                0.0      22.179 +- 0.282
     199.6      23.875 +- 0.500               99.8      21.614 +- 0.287
     299.4      22.887 +- 0.447              199.6      21.413 +- 0.302
     399.2      22.859 +- 0.389              299.4      21.458 +- 0.329
     499.0      22.417 +- 0.363              399.2      21.573 +- 0.348
     598.8      22.508 +- 0.342              499.0      21.463 +- 0.371
     698.6      22.525 +- 0.316              598.8      21.856 +- 0.393
     798.4      22.632 +- 0.302              698.6      21.379 +- 0.436
     898.2      22.172 +- 0.293              798.4      20.695 +- 0.531
     998.0      22.179 +- 0.282              898.2      20.640 +- 0.704
