   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      15.086 +- 0.521                0.0      15.623 +- 0.259
     199.6      16.023 +- 0.391               99.8      15.955 +- 0.254
     299.4      15.986 +- 0.357              199.6      15.983 +- 0.266
     399.2      16.288 +- 0.333              299.4      15.474 +- 0.272
     499.0      16.216 +- 0.294              399.2      15.588 +- 0.286
     598.8      16.802 +- 0.299              499.0      15.225 +- 0.280
     698.6      16.208 +- 0.290              598.8      15.172 +- 0.332
     798.4      16.462 +- 0.305              698.6      14.999 +- 0.349
     898.2      16.213 +- 0.280              798.4      14.741 +- 0.418
     998.0      15.623 +- 0.259              898.2      14.872 +- 0.570
