   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      25.524 +- 0.639                0.0      22.917 +- 0.348
     199.6      24.803 +- 0.489               99.8      22.885 +- 0.396
     299.4      24.095 +- 0.425              199.6      23.836 +- 0.369
     399.2      23.304 +- 0.404              299.4      23.658 +- 0.395
     499.0      23.795 +- 0.350              399.2      23.306 +- 0.405
     598.8      23.449 +- 0.343              499.0      22.549 +- 0.410
     698.6      23.171 +- 0.346              598.8      23.257 +- 0.471
     798.4      23.104 +- 0.320              698.6      22.633 +- 0.521
     898.2      22.630 +- 0.365              798.4      22.334 +- 0.538
     998.0      22.917 +- 0.348              898.2      22.412 +- 0.689
