   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      14.477 +- 0.513                0.0      14.716 +- 0.203
     199.6      14.398 +- 0.391               99.8      14.578 +- 0.208
     299.4      14.491 +- 0.341              199.6      14.988 +- 0.215
     399.2      14.830 +- 0.314              299.4      15.250 +- 0.225
     499.0      14.869 +- 0.282              399.2      15.522 +- 0.251
     598.8      14.222 +- 0.251              499.0      15.715 +- 0.272
     698.6      14.390 +- 0.236              598.8      16.404 +- 0.296
     798.4      14.482 +- 0.215              698.6      16.444 +- 0.337
     898.2      14.684 +- 0.210              798.4      16.495 +- 0.363
     998.0      14.716 +- 0.203              898.2      16.716 +- 0.464
