   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      36.898 +- 0.766                0.0      30.337 +- 0.361
     199.6      33.105 +- 0.626               99.8      29.577 +- 0.388
     299.4      32.462 +- 0.555              199.6      29.687 +- 0.407
     399.2      31.551 +- 0.511              299.4      28.769 +- 0.416
     499.0      31.086 +- 0.499              399.2      29.075 +- 0.461
     598.8      30.405 +- 0.448              499.0      28.888 +- 0.440
     698.6      30.413 +- 0.410              598.8      28.822 +- 0.468
     798.4      30.280 +- 0.386              698.6      28.923 +- 0.524
     898.2      30.536 +- 0.381              798.4      28.349 +- 0.594
     998.0      30.337 +- 0.361              898.2      29.038 +- 0.779
