   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -3.237 +- 0.130                0.0      -2.951 +- 0.041
     199.6      -3.284 +- 0.086               99.8      -3.037 +- 0.043
     299.4      -3.273 +- 0.073              199.6      -2.985 +- 0.045
     399.2      -3.261 +- 0.062              299.4      -2.946 +- 0.050
     499.0      -3.343 +- 0.059              399.2      -3.214 +- 0.051
     598.8      -3.321 +- 0.056              499.0      -3.007 +- 0.053
     698.6      -3.014 +- 0.052              598.8      -3.037 +- 0.057
     798.4      -2.959 +- 0.050              698.6      -3.053 +- 0.066
     898.2      -2.938 +- 0.046              798.4      -2.941 +- 0.074
     998.0      -2.951 +- 0.041              898.2      -2.960 +- 0.089
