   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -3.114 +- 0.112                0.0      -3.634 +- 0.051
     199.6      -3.113 +- 0.082               99.8      -3.535 +- 0.053
     299.4      -3.033 +- 0.068              199.6      -3.526 +- 0.057
     399.2      -3.204 +- 0.065              299.4      -3.556 +- 0.060
     499.0      -3.053 +- 0.059              399.2      -3.650 +- 0.068
     598.8      -3.455 +- 0.068              499.0      -3.730 +- 0.077
     698.6      -3.729 +- 0.061              598.8      -3.782 +- 0.092
     798.4      -3.599 +- 0.056              698.6      -3.759 +- 0.103
     898.2      -3.476 +- 0.052              798.4      -3.775 +- 0.111
     998.0      -3.634 +- 0.051              898.2      -3.871 +- 0.160
