   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -7.926 +- 0.484                0.0      -7.552 +- 0.148
     199.6      -7.507 +- 0.323               99.8      -7.494 +- 0.157
     299.4      -8.095 +- 0.290              199.6      -7.595 +- 0.160
     399.2      -8.581 +- 0.311              299.4      -7.435 +- 0.164
     499.0      -7.435 +- 0.224              399.2      -6.885 +- 0.154
     598.8      -7.116 +- 0.185              499.0      -7.543 +- 0.186
     698.6      -7.214 +- 0.185              598.8      -7.982 +- 0.207
     798.4      -7.298 +- 0.187              698.6      -7.809 +- 0.241
     898.2      -7.384 +- 0.151              798.4      -7.701 +- 0.256
     998.0      -7.552 +- 0.148              898.2      -8.380 +- 0.439
