   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      15.318 +- 0.673                0.0      13.480 +- 0.335
     199.6      14.539 +- 0.515               99.8      12.930 +- 0.331
     299.4      14.198 +- 0.433              199.6      12.753 +- 0.343
     399.2      13.915 +- 0.412              299.4      12.676 +- 0.369
     499.0      13.697 +- 0.357              399.2      12.682 +- 0.375
     598.8      13.393 +- 0.350              499.0      12.882 +- 0.417
     698.6      13.420 +- 0.419              598.8      12.432 +- 0.464
     798.4      13.461 +- 0.366              698.6      12.129 +- 0.514
     898.2      13.393 +- 0.342              798.4      12.055 +- 0.568
     998.0      13.480 +- 0.335              898.2      11.468 +- 0.712
