   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      12.889 +- 0.459                0.0      13.357 +- 0.234
     199.6      12.913 +- 0.363               99.8      12.971 +- 0.245
     299.4      12.807 +- 0.324              199.6      13.017 +- 0.254
     399.2      12.473 +- 0.295              299.4      13.267 +- 0.278
     499.0      12.108 +- 0.297              399.2      13.058 +- 0.288
     598.8      12.797 +- 0.279              499.0      12.770 +- 0.288
     698.6      13.684 +- 0.305              598.8      12.940 +- 0.292
     798.4      13.323 +- 0.253              698.6      13.299 +- 0.352
     898.2      13.356 +- 0.248              798.4      13.160 +- 0.369
     998.0      13.357 +- 0.234              898.2      13.307 +- 0.490
