   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      22.462 +- 0.835                0.0      23.110 +- 0.410
     199.6      22.445 +- 0.627               99.8      23.259 +- 0.422
     299.4      23.011 +- 0.540              199.6      23.225 +- 0.443
     399.2      23.474 +- 0.495              299.4      23.127 +- 0.474
     499.0      22.682 +- 0.493              399.2      23.055 +- 0.491
     598.8      23.363 +- 0.517              499.0      23.758 +- 0.531
     698.6      23.478 +- 0.462              598.8      23.855 +- 0.567
     798.4      23.622 +- 0.448              698.6      23.976 +- 0.586
     898.2      23.005 +- 0.435              798.4      23.854 +- 0.664
     998.0      23.110 +- 0.410              898.2      23.139 +- 0.834
