   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.250 +- 0.096                0.0      -2.059 +- 0.048
     199.6      -2.200 +- 0.071               99.8      -2.070 +- 0.045
     299.4      -2.222 +- 0.060              199.6      -2.090 +- 0.057
     399.2      -2.357 +- 0.064              299.4      -2.254 +- 0.048
     499.0      -2.391 +- 0.051              399.2      -2.257 +- 0.047
     598.8      -2.210 +- 0.058              499.0      -2.101 +- 0.047
     698.6      -2.075 +- 0.053              598.8      -2.202 +- 0.053
     798.4      -2.128 +- 0.063              698.6      -2.182 +- 0.059
     898.2      -2.072 +- 0.047              798.4      -2.224 +- 0.061
     998.0      -2.059 +- 0.048              898.2      -2.189 +- 0.071
