   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      17.912 +- 0.691                0.0      18.020 +- 0.287
     199.6      18.291 +- 0.537               99.8      18.064 +- 0.298
     299.4      18.109 +- 0.488              199.6      18.014 +- 0.317
     399.2      18.221 +- 0.416              299.4      18.276 +- 0.340
     499.0      18.233 +- 0.398              399.2      18.223 +- 0.370
     598.8      18.002 +- 0.357              499.0      18.430 +- 0.407
     698.6      18.291 +- 0.327              598.8      18.721 +- 0.418
     798.4      18.073 +- 0.315              698.6      18.376 +- 0.488
     898.2      17.894 +- 0.296              798.4      18.768 +- 0.513
     998.0      18.020 +- 0.287              898.2      18.615 +- 0.685
