   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -1.705 +- 0.058                0.0      -2.289 +- 0.040
     199.6      -1.738 +- 0.055               99.8      -2.359 +- 0.044
     299.4      -1.747 +- 0.046              199.6      -2.380 +- 0.048
     399.2      -1.804 +- 0.041              299.4      -2.487 +- 0.055
     499.0      -1.749 +- 0.038              399.2      -2.489 +- 0.059
     598.8      -1.937 +- 0.038              499.0      -2.627 +- 0.069
     698.6      -1.690 +- 0.037              598.8      -2.821 +- 0.085
     798.4      -2.116 +- 0.040              698.6      -2.880 +- 0.095
     898.2      -2.201 +- 0.040              798.4      -2.458 +- 0.101
     998.0      -2.289 +- 0.040              898.2      -2.761 +- 0.139
