   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      22.211 +- 0.454                0.0      21.368 +- 0.200
     199.6      20.958 +- 0.364               99.8      21.307 +- 0.194
     299.4      20.748 +- 0.334              199.6      21.751 +- 0.202
     399.2      20.702 +- 0.278              299.4      21.484 +- 0.213
     499.0      21.460 +- 0.256              399.2      21.618 +- 0.232
     598.8      21.619 +- 0.239              499.0      21.110 +- 0.254
     698.6      21.619 +- 0.224              598.8      20.893 +- 0.285
     798.4      21.421 +- 0.212              698.6      21.191 +- 0.320
     898.2      21.354 +- 0.202              798.4      21.275 +- 0.379
     998.0      21.368 +- 0.200              898.2      21.123 +- 0.501
