   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      35.027 +- 0.710                0.0      30.827 +- 0.294
     199.6      33.681 +- 0.528               99.8      30.427 +- 0.339
     299.4      33.109 +- 0.496              199.6      29.966 +- 0.345
     399.2      33.119 +- 0.453              299.4      29.599 +- 0.367
     499.0      31.662 +- 0.414              399.2      28.765 +- 0.363
     598.8      31.998 +- 0.370              499.0      28.498 +- 0.408
     698.6      31.487 +- 0.347              598.8      28.354 +- 0.448
     798.4      31.219 +- 0.324              698.6      28.253 +- 0.495
     898.2      31.051 +- 0.306              798.4      28.262 +- 0.570
     998.0      30.827 +- 0.294              898.2      27.652 +- 0.737
