   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      24.189 +- 0.613                0.0      24.453 +- 0.320
     199.6      23.253 +- 0.471               99.8      24.305 +- 0.327
     299.4      22.877 +- 0.433              199.6      24.274 +- 0.351
     399.2      23.490 +- 0.363              299.4      23.327 +- 0.305
     499.0      23.449 +- 0.334              399.2      24.007 +- 0.334
     598.8      24.354 +- 0.379              499.0      24.103 +- 0.365
     698.6      23.956 +- 0.340              598.8      24.126 +- 0.388
     798.4      24.004 +- 0.314              698.6      23.508 +- 0.459
     898.2      24.453 +- 0.333              798.4      24.157 +- 0.491
     998.0      24.453 +- 0.320              898.2      23.735 +- 0.625
