   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -1.558 +- 0.052                0.0      -1.743 +- 0.031
     199.6      -1.745 +- 0.056               99.8      -1.914 +- 0.040
     299.4      -1.882 +- 0.053              199.6      -1.905 +- 0.040
     399.2      -1.920 +- 0.046              299.4      -2.013 +- 0.047
     499.0      -1.960 +- 0.045              399.2      -2.075 +- 0.049
     598.8      -2.083 +- 0.047              499.0      -2.030 +- 0.054
     698.6      -1.735 +- 0.041              598.8      -2.476 +- 0.066
     798.4      -1.808 +- 0.039              698.6      -2.460 +- 0.074
     898.2      -2.205 +- 0.042              798.4      -2.386 +- 0.080
     998.0      -1.743 +- 0.031              898.2      -2.224 +- 0.089
