# gradients (DV/DL) for lambdas: 0.0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0
0.000000 -0.525500 -1.923600 -0.855700 -0.580000 -1.624100 -3.367800 -2.526700 -4.945800 -2.120800 -6.497300 -2.383200 
0.002000 -0.525400 -0.384400 -1.409500 -2.090800 -1.511100 -1.225700 -3.264700 -1.430300 -1.478400 -3.091100 -6.095800 
0.004000 -0.716700 -0.896600 -3.163900 -1.184900 -2.424900 -3.032600 -3.250500 -2.655400 -1.199700 -7.484800 -6.362900 
0.006000 -0.812900 -1.559600 -0.906900 -2.552700 -1.670500 -1.845500 -1.886300 -5.454800 -2.943100 -1.558200 -3.476500 
0.008000 -0.183100 -0.702400 -2.471100 -1.779300 -2.150400 -1.503300 -4.195800 -12.007800 -1.265900 -2.726000 -11.740600 
0.010000 -0.773800 -1.416100 -0.260900 -1.823900 -1.538700 -4.182200 -2.890400 -1.931700 -2.958500 -3.635500 -4.932900 
0.012000 -2.040800 -1.161500 -1.177500 -0.819400 -1.756100 -1.704700 -2.887200 -1.258200 -1.623100 -4.496300 -15.685000 
0.014000 -2.489900 -1.061600 -1.814100 -1.504200 -0.273100 -3.571900 -2.672900 -3.044200 -5.300200 -1.534800 -12.986700 
0.016000 -2.610200 -1.250000 -0.723700 -1.807800 -2.922900 -4.101900 -1.315700 -5.596400 -3.262800 -3.917700 -2.734200 
0.018000 -0.581000 -1.358800 -2.138400 -2.049600 -1.857900 -3.576300 -0.812800 -4.947600 -4.400300 -6.148800 -4.699800 
0.020000 -4.635800 -1.005500 -1.633200 -1.336400 -3.382200 -1.974900 -0.972000 -2.842900 -2.451700 -9.121000 -6.375900 
0.022000 -2.129800 -1.124700 -2.346300 -2.314900 -1.486600 -2.189300 -2.638800 -2.373500 -5.836200 -7.998200 -11.833600 
0.024000 -2.875700 -3.252400 -4.458600 -0.673800 -2.331100 -2.037600 -1.471400 -2.267500 -1.869000 -6.282600 -6.445300 
0.026000 -0.494300 -1.050600 -0.924900 -0.467200 -1.592300 -1.764400 -1.875100 -1.358900 -3.602900 -2.898300 -3.469100 
0.028000 -2.340300 -0.261800 -0.971400 -1.791400 -2.653300 -3.090800 -2.170200 -2.276200 -7.303200 -5.157100 -10.615800 
0.030000 -1.773800 -1.440000 -1.448300 -0.481800 -1.552900 -2.974300 -2.428700 -1.089700 -1.069600 -1.715000 -2.875000 
0.032000 -1.591600 -4.035300 -2.575700 -0.667900 -0.638600 -3.772100 -4.974400 -7.156100 -2.557200 -4.787900 -7.126700 
0.034000 -1.225600 -3.714100 -1.557300 -1.103800 -1.958600 -6.727200 -1.401100 -6.508000 -1.568100 -7.152900 -3.251000 
0.036000 -0.473200 -0.569100 -1.044300 -0.528900 -1.778300 -5.896100 -3.523000 -0.779600 -4.111700 -1.697000 -7.374000 
