   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      28.658 +- 0.760                0.0      26.638 +- 0.345
     199.6      27.457 +- 0.599               99.8      25.796 +- 0.368
     299.4      27.432 +- 0.504              199.6      25.583 +- 0.388
     399.2      26.441 +- 0.464              299.4      25.649 +- 0.420
     499.0      27.635 +- 0.430              399.2      25.767 +- 0.422
     598.8      27.632 +- 0.391              499.0      25.209 +- 0.439
     698.6      27.545 +- 0.367              598.8      24.926 +- 0.500
     798.4      26.820 +- 0.385              698.6      24.745 +- 0.540
     898.2      26.693 +- 0.374              798.4      25.620 +- 0.604
     998.0      26.638 +- 0.345              898.2      25.885 +- 0.781
