   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -7.878 +- 0.857                0.0     -13.048 +- 0.856
     199.6      -9.325 +- 0.879               99.8     -18.357 +- 2.031
     299.4     -10.292 +- 0.893              199.6     -18.142 +- 2.065
     399.2     -10.913 +- 0.883              299.4     -18.038 +- 2.136
     499.0     -11.435 +- 0.873              399.2     -18.673 +- 2.589
     598.8     -11.863 +- 0.869              499.0     -50.470 +- 1610.119
     698.6     -12.197 +- 0.862              598.8    -110.647 +- 0.015
     798.4     -12.552 +- 0.862              698.6    -176.042 +- 0.018
     898.2     -12.831 +- 0.858              798.4    -246.856 +- 0.023
     998.0     -13.048 +- 0.856              898.2    -372.248 +- 0.034
