   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.192 +- 0.070                0.0      -2.184 +- 0.036
     199.6      -2.255 +- 0.053               99.8      -2.214 +- 0.037
     299.4      -2.209 +- 0.045              199.6      -2.236 +- 0.038
     399.2      -2.220 +- 0.043              299.4      -2.238 +- 0.040
     499.0      -2.319 +- 0.041              399.2      -2.299 +- 0.043
     598.8      -2.167 +- 0.041              499.0      -2.311 +- 0.044
     698.6      -2.137 +- 0.042              598.8      -2.340 +- 0.048
     798.4      -2.159 +- 0.043              698.6      -2.411 +- 0.053
     898.2      -2.147 +- 0.037              798.4      -2.250 +- 0.059
     998.0      -2.184 +- 0.036              898.2      -2.335 +- 0.087
