   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      23.147 +- 0.472                0.0      21.853 +- 0.227
     199.6      22.537 +- 0.363               99.8      21.655 +- 0.233
     299.4      22.133 +- 0.330              199.6      21.694 +- 0.246
     399.2      21.849 +- 0.290              299.4      21.513 +- 0.256
     499.0      21.675 +- 0.266              399.2      21.580 +- 0.270
     598.8      21.329 +- 0.250              499.0      21.408 +- 0.286
     698.6      21.516 +- 0.238              598.8      21.161 +- 0.293
     798.4      21.907 +- 0.244              698.6      21.306 +- 0.330
     898.2      21.882 +- 0.233              798.4      22.098 +- 0.386
     998.0      21.853 +- 0.227              898.2      21.626 +- 0.508
