   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -3.055 +- 0.121                0.0      -2.597 +- 0.044
     199.6      -2.811 +- 0.080               99.8      -2.546 +- 0.046
     299.4      -2.680 +- 0.067              199.6      -2.559 +- 0.055
     399.2      -2.679 +- 0.061              299.4      -2.636 +- 0.058
     499.0      -2.676 +- 0.058              399.2      -2.761 +- 0.069
     598.8      -2.599 +- 0.051              499.0      -2.931 +- 0.080
     698.6      -2.671 +- 0.050              598.8      -2.919 +- 0.087
     798.4      -2.624 +- 0.048              698.6      -2.962 +- 0.101
     898.2      -2.541 +- 0.043              798.4      -2.995 +- 0.104
     998.0      -2.597 +- 0.044              898.2      -3.149 +- 0.139
