   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      31.464 +- 0.761                0.0      24.763 +- 0.354
     199.6      29.691 +- 0.591               99.8      24.914 +- 0.357
     299.4      28.703 +- 0.528              199.6      23.966 +- 0.416
     399.2      28.218 +- 0.469              299.4      23.892 +- 0.444
     499.0      27.846 +- 0.410              399.2      22.829 +- 0.453
     598.8      26.826 +- 0.390              499.0      23.054 +- 0.454
     698.6      26.017 +- 0.395              598.8      23.542 +- 0.538
     798.4      25.996 +- 0.383              698.6      22.330 +- 0.566
     898.2      25.363 +- 0.381              798.4      21.841 +- 0.619
     998.0      24.763 +- 0.354              898.2      20.940 +- 0.853
