   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -1.859 +- 0.064                0.0      -2.566 +- 0.048
     199.6      -1.886 +- 0.052               99.8      -2.674 +- 0.053
     299.4      -1.833 +- 0.044              199.6      -2.767 +- 0.059
     399.2      -1.973 +- 0.045              299.4      -2.724 +- 0.056
     499.0      -1.830 +- 0.037              399.2      -2.945 +- 0.071
     598.8      -2.069 +- 0.048              499.0      -3.067 +- 0.081
     698.6      -2.183 +- 0.048              598.8      -3.082 +- 0.088
     798.4      -2.391 +- 0.061              698.6      -3.142 +- 0.103
     898.2      -2.565 +- 0.050              798.4      -3.036 +- 0.120
     998.0      -2.566 +- 0.048              898.2      -2.318 +- 0.111
