   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -8.183 +- 0.684                0.0     -14.568 +- 0.589
     199.6      -9.883 +- 0.708               99.8     -41.448 +- 102.879
     299.4     -11.284 +- 0.642              199.6     -53.546 +- 1276.036
     399.2     -12.046 +- 0.628              299.4     -53.666 +- 1327.797
     499.0     -12.415 +- 0.618              399.2     -54.992 +- 1800.529
     598.8     -13.002 +- 0.608              499.0     -53.385 +- 1795.300
     698.6     -13.444 +- 0.603              598.8     -65.322 +- 17137.193
     798.4     -13.727 +- 0.597              698.6    -102.601 +- 0.047
     898.2     -14.285 +- 0.593              798.4    -102.510 +- 0.047
     998.0     -14.568 +- 0.589              898.2    -100.506 +- 0.061
