   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.707 +- 0.108                0.0      -2.626 +- 0.051
     199.6      -2.934 +- 0.088               99.8      -2.759 +- 0.048
     299.4      -2.933 +- 0.073              199.6      -2.752 +- 0.059
     399.2      -2.723 +- 0.070              299.4      -2.680 +- 0.057
     499.0      -2.756 +- 0.063              399.2      -2.642 +- 0.067
     598.8      -2.764 +- 0.055              499.0      -2.598 +- 0.070
     698.6      -2.792 +- 0.049              598.8      -2.679 +- 0.063
     798.4      -2.770 +- 0.048              698.6      -2.507 +- 0.072
     898.2      -2.710 +- 0.046              798.4      -2.728 +- 0.088
     998.0      -2.626 +- 0.051              898.2      -2.612 +- 0.104
