   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      24.283 +- 0.505                0.0      21.529 +- 0.226
     199.6      22.830 +- 0.395               99.8      20.886 +- 0.226
     299.4      21.678 +- 0.365              199.6      20.944 +- 0.234
     399.2      22.006 +- 0.332              299.4      20.966 +- 0.251
     499.0      21.652 +- 0.294              399.2      20.831 +- 0.265
     598.8      21.514 +- 0.268              499.0      21.054 +- 0.289
     698.6      21.424 +- 0.253              598.8      20.826 +- 0.317
     798.4      21.577 +- 0.259              698.6      21.071 +- 0.346
     898.2      21.635 +- 0.239              798.4      21.729 +- 0.398
     998.0      21.529 +- 0.226              898.2      21.499 +- 0.519
