   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      35.985 +- 0.749                0.0      29.477 +- 0.314
     199.6      33.375 +- 0.575               99.8      28.069 +- 0.324
     299.4      32.024 +- 0.485              199.6      27.723 +- 0.343
     399.2      32.333 +- 0.436              299.4      27.604 +- 0.348
     499.0      32.370 +- 0.424              399.2      26.873 +- 0.384
     598.8      31.646 +- 0.387              499.0      25.614 +- 0.454
     698.6      31.310 +- 0.369              598.8      25.191 +- 0.475
     798.4      30.104 +- 0.343              698.6      25.129 +- 0.549
     898.2      29.657 +- 0.324              798.4      25.492 +- 0.644
     998.0      29.477 +- 0.314              898.2      24.838 +- 0.815
