   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.735 +- 0.123                0.0      -3.043 +- 0.051
     199.6      -2.757 +- 0.088               99.8      -3.068 +- 0.055
     299.4      -2.529 +- 0.069              199.6      -3.086 +- 0.057
     399.2      -2.631 +- 0.065              299.4      -3.170 +- 0.063
     499.0      -2.622 +- 0.063              399.2      -3.158 +- 0.068
     598.8      -2.651 +- 0.061              499.0      -3.258 +- 0.076
     698.6      -2.546 +- 0.057              598.8      -3.307 +- 0.086
     798.4      -3.027 +- 0.057              698.6      -3.117 +- 0.089
     898.2      -2.997 +- 0.053              798.4      -2.764 +- 0.091
     998.0      -3.043 +- 0.051              898.2      -2.853 +- 0.119
