   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      23.736 +- 0.474                0.0      21.328 +- 0.227
     199.6      22.475 +- 0.378               99.8      20.680 +- 0.258
     299.4      21.292 +- 0.331              199.6      20.576 +- 0.266
     399.2      21.139 +- 0.298              299.4      21.050 +- 0.286
     499.0      20.654 +- 0.281              399.2      20.905 +- 0.277
     598.8      21.028 +- 0.265              499.0      21.102 +- 0.282
     698.6      20.785 +- 0.261              598.8      21.375 +- 0.319
     798.4      20.979 +- 0.239              698.6      21.336 +- 0.360
     898.2      21.087 +- 0.248              798.4      20.798 +- 0.405
     998.0      21.328 +- 0.227              898.2      21.491 +- 0.512
