   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.618 +- 0.092                0.0      -2.521 +- 0.040
     199.6      -2.769 +- 0.078               99.8      -2.576 +- 0.043
     299.4      -2.600 +- 0.069              199.6      -2.560 +- 0.043
     399.2      -2.707 +- 0.057              299.4      -2.579 +- 0.047
     499.0      -2.577 +- 0.056              399.2      -2.603 +- 0.052
     598.8      -2.589 +- 0.059              499.0      -2.600 +- 0.057
     698.6      -2.504 +- 0.051              598.8      -2.644 +- 0.059
     798.4      -2.489 +- 0.046              698.6      -2.604 +- 0.063
     898.2      -2.493 +- 0.045              798.4      -2.589 +- 0.077
     998.0      -2.521 +- 0.040              898.2      -2.722 +- 0.103
