   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -1.868 +- 0.067                0.0      -1.760 +- 0.030
     199.6      -1.891 +- 0.053               99.8      -1.803 +- 0.032
     299.4      -1.789 +- 0.047              199.6      -2.048 +- 0.036
     399.2      -1.953 +- 0.049              299.4      -2.038 +- 0.038
     499.0      -1.984 +- 0.042              399.2      -1.897 +- 0.042
     598.8      -1.961 +- 0.038              499.0      -2.019 +- 0.043
     698.6      -2.010 +- 0.037              598.8      -2.084 +- 0.050
     798.4      -2.028 +- 0.035              698.6      -2.040 +- 0.050
     898.2      -1.789 +- 0.031              798.4      -2.043 +- 0.058
     998.0      -1.760 +- 0.030              898.2      -2.057 +- 0.082
