   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      20.434 +- 0.515                0.0      17.981 +- 0.294
     199.6      20.520 +- 0.400               99.8      17.608 +- 0.315
     299.4      20.495 +- 0.359              199.6      17.403 +- 0.331
     399.2      19.676 +- 0.337              299.4      17.230 +- 0.352
     499.0      19.196 +- 0.321              399.2      17.325 +- 0.375
     598.8      19.224 +- 0.299              499.0      17.955 +- 0.326
     698.6      18.791 +- 0.312              598.8      17.695 +- 0.353
     798.4      18.518 +- 0.295              698.6      18.160 +- 0.363
     898.2      18.379 +- 0.284              798.4      18.084 +- 0.426
     998.0      17.981 +- 0.294              898.2      17.496 +- 0.563
