   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      27.888 +- 0.519                0.0      22.485 +- 0.263
     199.6      26.932 +- 0.406               99.8      23.593 +- 0.279
     299.4      25.988 +- 0.362              199.6      22.918 +- 0.288
     399.2      24.838 +- 0.343              299.4      22.353 +- 0.294
     499.0      24.439 +- 0.301              399.2      22.130 +- 0.325
     598.8      23.949 +- 0.280              499.0      21.576 +- 0.341
     698.6      23.726 +- 0.295              598.8      21.272 +- 0.373
     798.4      23.154 +- 0.286              698.6      21.078 +- 0.407
     898.2      23.789 +- 0.267              798.4      21.670 +- 0.458
     998.0      22.485 +- 0.263              898.2      21.320 +- 0.602
