   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      36.725 +- 0.525                0.0      30.253 +- 0.228
     199.6      34.758 +- 0.417               99.8      30.263 +- 0.306
     299.4      33.380 +- 0.378              199.6      28.967 +- 0.282
     399.2      32.501 +- 0.355              299.4      29.385 +- 0.304
     499.0      32.063 +- 0.309              399.2      29.036 +- 0.324
     598.8      31.613 +- 0.281              499.0      29.068 +- 0.361
     698.6      31.181 +- 0.280              598.8      28.884 +- 0.370
     798.4      30.431 +- 0.265              698.6      28.877 +- 0.396
     898.2      30.332 +- 0.237              798.4      28.782 +- 0.489
     998.0      30.253 +- 0.228              898.2      29.636 +- 0.628
