   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.980 +- 0.143                0.0      -2.586 +- 0.046
     199.6      -2.959 +- 0.100               99.8      -2.562 +- 0.049
     299.4      -2.969 +- 0.083              199.6      -2.449 +- 0.050
     399.2      -2.858 +- 0.071              299.4      -2.451 +- 0.055
     499.0      -2.870 +- 0.068              399.2      -2.483 +- 0.063
     598.8      -2.843 +- 0.062              499.0      -2.399 +- 0.062
     698.6      -2.799 +- 0.057              598.8      -2.333 +- 0.066
     798.4      -2.727 +- 0.052              698.6      -2.270 +- 0.074
     898.2      -2.599 +- 0.050              798.4      -2.470 +- 0.083
     998.0      -2.586 +- 0.046              898.2      -2.605 +- 0.109
