   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8     -12.297 +- 0.690                0.0     -13.904 +- 0.336
     199.6     -12.092 +- 0.505               99.8     -14.052 +- 0.254
     299.4     -11.739 +- 0.577              199.6     -13.634 +- 0.386
     399.2     -12.472 +- 0.463              299.4     -14.355 +- 0.376
     499.0     -12.591 +- 0.419              399.2     -13.956 +- 0.462
     598.8     -12.620 +- 0.387              499.0     -14.315 +- 0.400
     698.6     -10.782 +- 0.516              598.8     -14.545 +- 0.401
     798.4     -10.523 +- 0.494              698.6     -14.103 +- 0.468
     898.2     -11.600 +- 0.450              798.4     -14.388 +- 0.611
     998.0     -13.904 +- 0.336              898.2     -19.610 +- 2.306
