   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.228 +- 0.090                0.0      -2.046 +- 0.031
     199.6      -2.191 +- 0.066               99.8      -2.084 +- 0.038
     299.4      -2.313 +- 0.064              199.6      -2.057 +- 0.035
     399.2      -2.317 +- 0.053              299.4      -2.309 +- 0.039
     499.0      -2.271 +- 0.046              399.2      -2.271 +- 0.042
     598.8      -2.253 +- 0.041              499.0      -2.332 +- 0.048
     698.6      -2.246 +- 0.039              598.8      -2.154 +- 0.054
     798.4      -2.010 +- 0.035              698.6      -2.394 +- 0.066
     898.2      -2.044 +- 0.031              798.4      -2.463 +- 0.090
     998.0      -2.046 +- 0.031              898.2      -2.463 +- 0.112
