   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.752 +- 0.116                0.0      -2.724 +- 0.051
     199.6      -2.678 +- 0.089               99.8      -2.658 +- 0.050
     299.4      -2.885 +- 0.080              199.6      -2.662 +- 0.052
     399.2      -2.793 +- 0.074              299.4      -2.545 +- 0.049
     499.0      -2.608 +- 0.071              399.2      -2.678 +- 0.052
     598.8      -2.579 +- 0.064              499.0      -2.719 +- 0.057
     698.6      -2.638 +- 0.061              598.8      -2.826 +- 0.065
     798.4      -2.645 +- 0.057              698.6      -2.491 +- 0.065
     898.2      -2.661 +- 0.052              798.4      -2.530 +- 0.070
     998.0      -2.724 +- 0.051              898.2      -2.665 +- 0.092
