   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      22.568 +- 0.389                0.0      20.142 +- 0.195
     199.6      21.405 +- 0.312               99.8      19.763 +- 0.213
     299.4      20.620 +- 0.277              199.6      19.750 +- 0.218
     399.2      20.802 +- 0.258              299.4      19.969 +- 0.227
     499.0      20.721 +- 0.235              399.2      19.486 +- 0.246
     598.8      20.424 +- 0.221              499.0      18.887 +- 0.249
     698.6      20.103 +- 0.209              598.8      18.968 +- 0.282
     798.4      20.112 +- 0.211              698.6      18.646 +- 0.316
     898.2      19.907 +- 0.209              798.4      19.381 +- 0.340
     998.0      20.142 +- 0.195              898.2      19.779 +- 0.447
