   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      30.871 +- 0.666                0.0      26.230 +- 0.322
     199.6      29.245 +- 0.524               99.8      25.378 +- 0.333
     299.4      28.716 +- 0.482              199.6      25.178 +- 0.356
     399.2      27.734 +- 0.428              299.4      24.506 +- 0.377
     499.0      27.391 +- 0.395              399.2      24.605 +- 0.373
     598.8      28.491 +- 0.428              499.0      24.349 +- 0.404
     698.6      28.087 +- 0.399              598.8      23.424 +- 0.449
     798.4      27.234 +- 0.355              698.6      22.423 +- 0.530
     898.2      26.500 +- 0.350              798.4      21.730 +- 0.565
     998.0      26.230 +- 0.322              898.2      21.171 +- 0.765
