   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      99.8      -2.039 +- 0.089                0.0      -1.935 +- 0.062
     199.6      -2.327 +- 0.077               99.8      -1.993 +- 0.055
     299.4      -2.255 +- 0.071              199.6      -1.997 +- 0.069
     399.2      -2.395 +- 0.066              299.4      -1.998 +- 0.064
     499.0      -2.385 +- 0.062              399.2      -2.689 +- 0.070
     598.8      -1.996 +- 0.055              499.0      -2.646 +- 0.068
     698.6      -1.959 +- 0.048              598.8      -2.274 +- 0.084
     798.4      -1.916 +- 0.047              698.6      -2.209 +- 0.081
     898.2      -1.948 +- 0.047              798.4      -2.611 +- 0.100
     998.0      -1.935 +- 0.062              898.2      -2.573 +- 0.139
